EmployeeID,Name,Department,JoinDate,Salary,YearsExperience,PerformanceRating
101,Alice,sales,2018-01-15,4500.0,3,4
102,Bob,IT,2019-03-20,5500.0,5,5
103,Charlie,hr,2017-06-11,,7,3
104,David,Finance,2020-07-01,6200.0,2,4
105,Eva,Sales,2016-04-25,5000.0,8,5
106,Frank,it,2018-09-15,5800.0,4,4
107,Grace,HR,2019-12-01,4700.0,6,3
108,Helen,finance,2021-01-18,,1,5
109,Ian,Sales,2017-10-10,5100.0,9,4
110,Jack,IT,2018-02-14,6000.0,5,5
111,Kate,HR,2019-08-21,4800.0,4,3
112,Leo,Finance,2020-11-11,6500.0,10,5
113,Mona,sales,2016-05-30,,11,4
114,Nancy,IT,2018-03-17,5700.0,6,4
115,Oscar,hr,2017-07-07,4900.0,8,3
116,Paul,Finance,2019-09-09,6300.0,7,5
117,Queen,Sales,2020-12-12,5200.0,5,5
118,Ryan,IT,2021-05-05,5900.0,3,4
119,Sophia,HR,2018-06-06,4600.0,9,3
120,Tom,finance,2017-02-02,,12,5
120,Tom,finance,2017-02-02,,12,5
105,Eva,Sales,2016-04-25,5000.0,8,5
